E10212,ERR_PK_LENGTH,If error occurs again ^then contact your system manager.
E10213,ERR_EUP_PUBLIC_KEY_INDEX,If error occurs again ^then contact your system manager.
E10214,ERR_SELF_CERTIF_EXTENDED_DATA,If error occurs again ^then contact your system manager.
E10215,ERR_ILLEGAL_PAN_SIZE,If error occurs again ^then contact your system manager.
E10216,ERR_ILLEGAL_ID_NUMBER,If error occurs again ^then contact your system manager.
E10218,ERR_CERTIFICATE_NOT_YET_ACTIVE,If error occurs again ^then contact your system manager.
E10219,ERR_ILLEGAL_SIGNED_DATA_FORMAT,If error occurs again ^then contact your system manager.
E10220,ERR_FORMAT_UNKNOWN,If error occurs again ^then contact your system manager.
E10221,ERR_ICC_CERTIFICATE_FORMAT,If error occurs again ^then contact your system manager.
E10222,ERR_DDA_CERTIFICATE_FORMAT,If error occurs again ^then contact your system manager.
E10223,ERR_CRYPTOGRAMS_NOT_EQUAL,If error occurs again ^then contact your system manager.
E10224,ERR_INVALID_CURRENT_YEAR,If error occurs again ^then contact your system manager.
E10225,ERR_DYNAMIC_DATA_LENGTH,If error occurs again ^then contact your system manager.
E10226,ERR_ILLEGAL_PAN,If error occurs again ^then contact your system manager.
E10227,ERR_VERIFYING_PAN,If error occurs again ^then contact your system manager.
E10228,ERR_CDA_RECOVERED^_VS_CALCULATED_HASH,If error occurs again ^then contact your system manager.
E10230,Length error in the ^encrypted ACP data (not mod 8),If error occurs again ^then contact your system manager.
E10231,Decryption error in the ACP data,If error occurs again ^then contact your system manager.
E10232,Problem/missing ACP decryption key,If error occurs again ^then contact your system manager.
